budget,dp,oracle,pair_agreement,pair_avg_kl_victim_to_stolen,pair_prompt_cos_sim,pair_prompt_l2_dist,seed,stolen_acc,stolen_avg_conf,stolen_f1,stolen_num_labels,stolen_pos_rate,stolen_prompt_len,stolen_prompt_norm,stolen_prompt_path,stolen_task,task,victim_acc,victim_avg_conf,victim_f1,victim_num_labels,victim_pos_rate,victim_prompt_len,victim_prompt_norm,victim_prompt_path,victim_task
200,True,hard,0.8341314314824249,0.37456493670698704,0.04233710467815399,35.6511116027832,42,0.741110545084055,0.6876692373049362,nan,3,nan,20,5.7507476806640625,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget200_seed42_hard.pt,mnli,mnli,0.7758532857870606,0.9406218003570821,nan,3,nan,20,35.42854690551758,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed42.pt,mnli
500,True,hard,0.8566479877738156,0.33011471461836805,0.032652053982019424,35.891448974609375,42,0.7524197656647987,0.7264061040193283,nan,3,nan,20,7.0178656578063965,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget500_seed42_hard.pt,mnli,mnli,0.7758532857870606,0.9406218003570821,nan,3,nan,20,35.42854690551758,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed42.pt,mnli
1000,True,hard,0.8450331125827815,0.32984651837249346,0.03642306849360466,36.13644790649414,42,0.74253693326541,0.7781142817306325,nan,3,nan,20,8.524091720581055,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget1000_seed42_hard.pt,mnli,mnli,0.7758532857870606,0.9406218003570821,nan,3,nan,20,35.42854690551758,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed42.pt,mnli
5000,True,hard,0.878858889454916,0.2569783485731299,0.004690410569310188,38.77564239501953,42,0.7574121242995415,0.9237759289423301,nan,3,nan,20,15.926743507385254,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget5000_seed42_hard.pt,mnli,mnli,0.7758532857870606,0.9406218003570821,nan,3,nan,20,35.42854690551758,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed42.pt,mnli
200,True,hard,0.7948038716250637,0.44741552628185816,0.06307120621204376,34.251220703125,43,0.7463066734589914,0.6518440860664729,nan,3,nan,20,5.719063758850098,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget200_seed43_hard.pt,mnli,mnli,0.7554763117677025,0.9412946735057549,nan,3,nan,20,34.13301467895508,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed43.pt,mnli
500,True,hard,0.856953642384106,0.3510793283892965,0.06952506303787231,34.35450744628906,43,0.7593479368313806,0.708903123308552,nan,3,nan,20,6.933923721313477,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget500_seed43_hard.pt,mnli,mnli,0.7554763117677025,0.9412946735057549,nan,3,nan,20,34.13301467895508,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed43.pt,mnli
1000,True,hard,0.8440142638818136,0.3485710020066522,0.05991754308342934,34.66688537597656,43,0.7560876209882832,0.7656966521797044,nan,3,nan,20,8.441438674926758,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget1000_seed43_hard.pt,mnli,mnli,0.7554763117677025,0.9412946735057549,nan,3,nan,20,34.13301467895508,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed43.pt,mnli
5000,True,hard,0.8910850738665308,0.19282085218268027,0.04923656955361366,37.209842681884766,43,0.754253693326541,0.9127397864677441,nan,3,nan,20,16.591459274291992,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget5000_seed43_hard.pt,mnli,mnli,0.7554763117677025,0.9412946735057549,nan,3,nan,20,34.13301467895508,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed43.pt,mnli
200,True,hard,0.8489047376464595,0.35254062150609294,0.038683146238327026,35.368919372558594,44,0.7527254202750892,0.7054559106190351,nan,3,nan,20,5.663697242736816,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget200_seed44_hard.pt,mnli,mnli,0.7827814569536424,0.946675147368965,nan,3,nan,20,35.132286071777344,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed44.pt,mnli
500,True,hard,0.8557310239429444,0.3324212130726568,0.0342850536108017,35.607940673828125,44,0.752317880794702,0.7250399960222987,nan,3,nan,20,7.128916263580322,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget500_seed44_hard.pt,mnli,mnli,0.7827814569536424,0.946675147368965,nan,3,nan,20,35.132286071777344,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed44.pt,mnli
1000,True,hard,0.8789607743250127,0.28089089155561514,0.04337742179632187,35.661521911621094,44,0.7589403973509934,0.7674249852122668,nan,3,nan,20,7.831857681274414,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget1000_seed44_hard.pt,mnli,mnli,0.7827814569536424,0.946675147368965,nan,3,nan,20,35.132286071777344,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed44.pt,mnli
5000,True,hard,0.9094243504839531,0.17404633271894587,0.02996540442109108,37.88528823852539,44,0.7684156902699949,0.9376017978102713,nan,3,nan,20,15.269843101501465,checkpoints/mnli/stolen_mnli_dp_eps8.0_budget5000_seed44_hard.pt,mnli,mnli,0.7827814569536424,0.946675147368965,nan,3,nan,20,35.132286071777344,checkpoints/mnli/victim_dp_mnli_eps8.0_P20_seed44.pt,mnli
