budget,dp,oracle,pair_agreement,pair_avg_kl_victim_to_stolen,pair_prompt_cos_sim,pair_prompt_l2_dist,seed,stolen_acc,stolen_avg_conf,stolen_f1,stolen_num_labels,stolen_pos_rate,stolen_prompt_len,stolen_prompt_norm,stolen_prompt_path,stolen_task,task,victim_acc,victim_avg_conf,victim_f1,victim_num_labels,victim_pos_rate,victim_prompt_len,victim_prompt_norm,victim_prompt_path,victim_task
200,True,probs,0.8772935779816514,0.25021326514559056,0.030506514012813568,30.772716522216797,42,0.8268348623853211,0.8745983806225138,0.8346111719605696,2,0.5378440366972477,20,5.4870100021362305,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget200_seed42_soft.pt,sst2,sst2,0.8922018348623854,0.9781266396198798,0.8957871396895787,2,0.5252293577981652,20,30.447429656982422,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed42.pt,sst2
500,True,probs,0.9655963302752294,0.04480589478524453,0.036865994334220886,30.933141708374023,42,0.8899082568807339,0.9498761684522716,0.8947368421052632,2,0.536697247706422,20,6.696842193603516,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget500_seed42_soft.pt,sst2,sst2,0.8922018348623854,0.9781266396198798,0.8957871396895787,2,0.5252293577981652,20,30.447429656982422,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed42.pt,sst2
1000,True,probs,0.9655963302752294,0.050382602857340364,0.032654713839292526,31.16246795654297,42,0.8899082568807339,0.9537206746022636,0.8918918918918919,2,0.5091743119266054,20,7.705588340759277,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget1000_seed42_soft.pt,sst2,sst2,0.8922018348623854,0.9781266396198798,0.8957871396895787,2,0.5252293577981652,20,30.447429656982422,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed42.pt,sst2
5000,True,probs,0.9862385321100917,0.01548092007431962,0.03448750823736191,31.691251754760742,42,0.8853211009174312,0.9677684766436936,0.8891352549889135,2,0.5252293577981652,20,9.903999328613281,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget5000_seed42_soft.pt,sst2,sst2,0.8922018348623854,0.9781266396198798,0.8957871396895787,2,0.5252293577981652,20,30.447429656982422,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed42.pt,sst2
200,True,probs,0.9782110091743119,0.03986044585226326,0.038063813000917435,16.691946029663086,43,0.8956422018348624,0.9517018948126277,0.8990011098779135,2,0.5240825688073395,20,5.435181140899658,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget200_seed43_soft.pt,sst2,sst2,0.8944954128440367,0.981060176814368,0.8966292134831462,2,0.5114678899082569,20,15.990506172180176,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed43.pt,sst2
500,True,probs,0.9701834862385321,0.04653277087512366,0.03576173633337021,17.02800941467285,43,0.8899082568807339,0.9513973664799962,0.8949671772428884,2,0.5389908256880734,20,6.452649116516113,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget500_seed43_soft.pt,sst2,sst2,0.8944954128440367,0.981060176814368,0.8966292134831462,2,0.5114678899082569,20,15.990506172180176,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed43.pt,sst2
1000,True,probs,0.9782110091743119,0.026913042410934736,0.04622572660446167,17.00983238220215,43,0.893348623853211,0.9622926187077794,0.896551724137931,2,0.5217889908256881,20,6.585923194885254,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget1000_seed43_soft.pt,sst2,sst2,0.8944954128440367,0.981060176814368,0.8966292134831462,2,0.5114678899082569,20,15.990506172180176,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed43.pt,sst2
5000,True,probs,0.9850917431192661,0.022196154426270667,0.04930809885263443,18.372398376464844,43,0.893348623853211,0.9624681122806094,0.8970099667774085,2,0.5263761467889908,20,9.869786262512207,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget5000_seed43_soft.pt,sst2,sst2,0.8944954128440367,0.981060176814368,0.8966292134831462,2,0.5114678899082569,20,15.990506172180176,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed43.pt,sst2
200,True,probs,0.9644495412844036,0.05880402951338969,-0.002476879395544529,34.51183319091797,44,0.8887614678899083,0.9420035475984626,0.8946796959826276,2,0.5470183486238532,20,5.465137004852295,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget200_seed44_soft.pt,sst2,sst2,0.8944954128440367,0.9803413819829259,0.8973214285714286,2,0.518348623853211,20,34.062843322753906,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed44.pt,sst2
500,True,probs,0.9701834862385321,0.04125389682316999,0.0007320287404581904,34.63742446899414,44,0.8967889908256881,0.9514902622327892,0.8995535714285714,2,0.518348623853211,20,6.30789041519165,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget500_seed44_soft.pt,sst2,sst2,0.8944954128440367,0.9803413819829259,0.8973214285714286,2,0.518348623853211,20,34.062843322753906,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed44.pt,sst2
1000,True,probs,0.9724770642201835,0.04142604409417975,0.02205660194158554,34.732357025146484,44,0.8922018348623854,0.9541600341096931,0.8953229398663698,2,0.5206422018348624,20,7.579524040222168,checkpoints/sst2/stolen_sst2_dp_eps8.0_budget1000_seed44_soft.pt,sst2,sst2,0.8944954128440367,0.9803413819829259,0.8973214285714286,2,0.518348623853211,20,34.062843322753906,checkpoints/sst2/victim_dp_sst2_eps8.0_P20_seed44.pt,sst2
