budget,dp,oracle,pair_agreement,pair_avg_kl_victim_to_stolen,pair_prompt_cos_sim,pair_prompt_l2_dist,seed,stolen_acc,stolen_avg_conf,stolen_f1,stolen_num_labels,stolen_pos_rate,stolen_prompt_len,stolen_prompt_norm,stolen_prompt_path,stolen_task,task,victim_acc,victim_avg_conf,victim_f1,victim_num_labels,victim_pos_rate,victim_prompt_len,victim_prompt_norm,victim_prompt_path,victim_task
200,False,hard,0.893348623853211,0.10979414690251744,0.07996922731399536,12.7730712890625,42,0.8577981651376146,0.9129841130807859,0.8590909090909091,2,0.5,20,5.5271711349487305,checkpoints/sst2/stolen_sst2_nodp_budget200_seed42_hard.pt,sst2,sst2,0.9002293577981652,0.9296175493012875,0.9038674033149171,2,0.5286697247706422,20,11.965764045715332,checkpoints/sst2/victim_sst2_P20_seed42.pt,sst2
500,False,hard,0.9564220183486238,0.058748020628176696,0.07822611927986145,13.299784660339355,42,0.8887614678899083,0.9449636301863085,0.8903954802259888,2,0.5057339449541285,20,6.81658935546875,checkpoints/sst2/stolen_sst2_nodp_budget500_seed42_hard.pt,sst2,sst2,0.9002293577981652,0.9296175493012875,0.9038674033149171,2,0.5286697247706422,20,11.965764045715332,checkpoints/sst2/victim_sst2_P20_seed42.pt,sst2
1000,False,hard,0.9621559633027523,0.059759930664793064,0.07019848376512527,14.159943580627441,42,0.8853211009174312,0.9588141222612574,0.8893805309734513,2,0.5275229357798165,20,8.457721710205078,checkpoints/sst2/stolen_sst2_nodp_budget1000_seed42_hard.pt,sst2,sst2,0.9002293577981652,0.9296175493012875,0.9038674033149171,2,0.5286697247706422,20,11.965764045715332,checkpoints/sst2/victim_sst2_P20_seed42.pt,sst2
5000,False,hard,0.9587155963302753,0.1042147509822058,0.07326951622962952,16.839418411254883,42,0.8956422018348624,0.9680406850412351,0.8990011098779135,2,0.5240825688073395,20,12.757599830627441,checkpoints/sst2/stolen_sst2_nodp_budget5000_seed42_hard.pt,sst2,sst2,0.9002293577981652,0.9296175493012875,0.9038674033149171,2,0.5286697247706422,20,11.965764045715332,checkpoints/sst2/victim_sst2_P20_seed42.pt,sst2
200,False,hard,0.9575688073394495,0.052287350895754786,0.08035242557525635,19.456693649291992,43,0.8864678899082569,0.9523298281048416,0.8891377379619261,2,0.5149082568807339,20,5.594675540924072,checkpoints/sst2/stolen_sst2_nodp_budget200_seed43_hard.pt,sst2,sst2,0.8990825688073395,0.9305609038116736,0.9017857142857143,2,0.518348623853211,20,19.089954376220703,checkpoints/sst2/victim_sst2_P20_seed43.pt,sst2
500,False,hard,0.9587155963302753,0.05754755820156238,0.06652769446372986,19.777198791503906,43,0.8876146788990825,0.95022699811043,0.8923076923076924,2,0.5344036697247706,20,6.592066287994385,checkpoints/sst2/stolen_sst2_nodp_budget500_seed43_hard.pt,sst2,sst2,0.8990825688073395,0.9305609038116736,0.9017857142857143,2,0.518348623853211,20,19.089954376220703,checkpoints/sst2/victim_sst2_P20_seed43.pt,sst2
1000,False,hard,0.9610091743119266,0.0875176740212178,0.06679626554250717,20.10206413269043,43,0.8853211009174312,0.9621749886678993,0.8853211009174311,2,0.4908256880733945,20,7.701068878173828,checkpoints/sst2/stolen_sst2_nodp_budget1000_seed43_hard.pt,sst2,sst2,0.8990825688073395,0.9305609038116736,0.9017857142857143,2,0.518348623853211,20,19.089954376220703,checkpoints/sst2/victim_sst2_P20_seed43.pt,sst2
5000,False,hard,0.9678899082568807,0.1103934955979706,0.03331800550222397,23.14994239807129,43,0.8853211009174312,0.9717112681187621,0.8876404494382023,2,0.5114678899082569,20,13.747035026550293,checkpoints/sst2/stolen_sst2_nodp_budget5000_seed43_hard.pt,sst2,sst2,0.8990825688073395,0.9305609038116736,0.9017857142857143,2,0.518348623853211,20,19.089954376220703,checkpoints/sst2/victim_sst2_P20_seed43.pt,sst2
200,False,hard,0.9552752293577982,0.05723580718040466,0.022028548642992973,13.324586868286133,44,0.8715596330275229,0.9484866737225733,0.8738738738738738,2,0.5091743119266054,20,5.592068195343018,checkpoints/sst2/stolen_sst2_nodp_budget200_seed44_hard.pt,sst2,sst2,0.8979357798165137,0.9371933149635245,0.9005586592178771,2,0.5172018348623854,20,12.21816635131836,checkpoints/sst2/victim_sst2_P20_seed44.pt,sst2
500,False,hard,0.9621559633027523,0.03599714979939504,0.03853743150830269,13.89331340789795,44,0.8784403669724771,0.9427910026060332,0.8814317673378076,2,0.5160550458715596,20,7.101261615753174,checkpoints/sst2/stolen_sst2_nodp_budget500_seed44_hard.pt,sst2,sst2,0.8979357798165137,0.9371933149635245,0.9005586592178771,2,0.5172018348623854,20,12.21816635131836,checkpoints/sst2/victim_sst2_P20_seed44.pt,sst2
1000,False,hard,0.9541284403669725,0.10688428088612513,0.0030480080749839544,14.388940811157227,44,0.8864678899082569,0.9633425397610446,0.8886389201349831,2,0.5103211009174312,20,7.637202262878418,checkpoints/sst2/stolen_sst2_nodp_budget1000_seed44_hard.pt,sst2,sst2,0.8979357798165137,0.9371933149635245,0.9005586592178771,2,0.5172018348623854,20,12.21816635131836,checkpoints/sst2/victim_sst2_P20_seed44.pt,sst2
5000,False,hard,0.9575688073394495,0.10462824890919782,0.00879785418510437,18.69708824157715,44,0.8944954128440367,0.9696293708381303,0.8942528735632184,2,0.48853211009174313,20,14.260553359985352,checkpoints/sst2/stolen_sst2_nodp_budget5000_seed44_hard.pt,sst2,sst2,0.8979357798165137,0.9371933149635245,0.9005586592178771,2,0.5172018348623854,20,12.21816635131836,checkpoints/sst2/victim_sst2_P20_seed44.pt,sst2
